Restaurant ,Menu Category,Item Name,Price
Subway,Sandwich,Paneer Tikka Sandwich,279
Subway,Sandwich,Aloo Patty Sandwich,229
Subway,Sandwich,Peri Peri Chicken Sandwich,279
Subway,Sandwich,B.M.T Sandwich,309
Subway,Sandwich,Tandoori Chicken Tikka Sandwich,279
Subway,Sandwich,Roasted Chicken Strip Sandwich,279
Subway,Salad,Tandoori Chicken Tikka Salad,359
Subway,Sandwich,Veggie Delite Sandwich,209
Subway,Sandwich,Chilli Bean Patty Sandwich,249
Subway,Salad,Paneer Tikka Salad,349
"Faasos - Wraps, Rolls & Shawarma",Wrap,Chicken Bhuna Protein Pro Wrap,279
"Faasos - Wraps, Rolls & Shawarma",Shawarma,Classic Smoky Chicken Shawarma,219
"Faasos - Wraps, Rolls & Shawarma",Shawarma,Special Smoky Chicken Shawarma,239
"Faasos - Wraps, Rolls & Shawarma",Shawarma,Masala Chicken Tikka protein pro wrap,279
"Faasos - Wraps, Rolls & Shawarma",Shawarma,Smoky BBQ Chicken Shawarma,309
"Faasos - Wraps, Rolls & Shawarma",Wrap,Cheese Melt Paneer Wrap,209
"Faasos - Wraps, Rolls & Shawarma",Wrap,Aloo Patty Chipotle Burger Wrap,279
"Faasos - Wraps, Rolls & Shawarma",Wrap,Spicy Chicken Salad Burger Wrap,259
"Faasos - Wraps, Rolls & Shawarma",Wrap,Chimichurri Paneer Salad Burger Wrap,259
"Faasos - Wraps, Rolls & Shawarma",Wrap,Baked Panner Tikka Pizza Wrap,289
Pizza Hut,Pizza,Tandoori Paneer,329
Pizza Hut,Pizza,Margherita,169
Pizza Hut,Pizza,Veggie Supreme,379
Pizza Hut,Pizza,Corn & Cheese,229
Pizza Hut,Pizza,Tandori Paneer - Personal,329
Pizza Hut,Pizza,Chicken Tikka Supreme,399
Pizza Hut,Pizza,Classic Corn,119
Pizza Hut,Pizza,Chicken Supreme,399
Pizza Hut,Pizza,Classic Onion Capsicum,109
Pizza Hut,Pizza,Chicken Pepperoni,329
Hakka Tikka,Rice,Chicken Fried Rice,299
Hakka Tikka,Noodle,Veg Hakka Noodles,249
Hakka Tikka,Noodle,Chicken Hakka Noodles,299
Hakka Tikka,Rice,Chicken Triple Rice,349
Hakka Tikka,Manchurian,Veg Manchurian Dry,289
Hakka Tikka,Chicken Lollypop,Chicken Lollypop,349
Hakka Tikka,Chicken ,Butter Chicken Masala,399
Hakka Tikka,Biryani ,Anda Biryani,259
Hakka Tikka,Biryani ,Veg Biryani,259
Hakka Tikka,Soup ,Chicken Clear Soup,149
Burger King,Burger,Crispy Chicken Burger,99
Burger King,Burger,Veg Makhani Burst Burger,59
Burger King,Fries,Saucy Fries,145
Burger King,Burger,Original Whopper veg,159
Burger King,Fries,Peri Peri Fries,59
Burger King,Latte,Iced Latte,99
Burger King,Burger,Crispy Veg Burger,70
Burger King,Burger,Regular Fries,59
Burger King,Taco,Veg Crunchy Taco,90
Burger King,Burger,BK Chicken Burger,149
